,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.043703556,-0.09781915,-0.48966438,-0.028773,-0.5738596,-0.119495094,-0.24038759,0.10519204,-0.19851224,0.14645582,0.13734475,0.071412995,0.21514136,-0.25895488,0.012591657,0.0979416,-0.16016644,-0.09502278,-0.13013893,-0.066384025,-0.09096355,-0.27211055,-0.13086435,0.1601001,0.29894978,0.34572688,-0.06501721,-0.15229392,0.073007196,0.050567754,0.13798183,0.19481859,-0.13507338,-0.02220029,0.27238375,-0.004431912,0.27881816,0.07804319,0.13587674,-0.04715098,-0.048992436,0.06331687
^2,0.18711576,-0.051830105,-0.08177472,0.09297758,0.096300095,0.23829871,-0.20712632,0.08419961,0.23768836,-0.38895196,-0.24970092,0.15834987,0.0113820275,-0.10124385,-0.13060804,-0.092078745,-0.10114056,0.17711946,0.2948688,-0.06332839,-0.05757016,-0.21084352,-0.13026747,-0.14870577,-0.3630045,0.04048559,0.04694148,0.14993891,-0.28082025,-0.21112588,-0.2542793,0.14308117,-0.12971099,-0.32414246,-0.013297053,0.103140526,0.100914694,-0.23188251,-0.20294435,0.15453273,0.07260236,-0.19137913
^g,-0.2554276,0.17869805,0.033688255,0.060500205,-0.14360514,-0.48329163,0.17528757,-0.2392113,-0.1748083,0.022912413,-0.3092311,0.23263656,-0.1299007,0.1912489,-0.11695426,-0.20745866,0.08565848,-0.0021342419,0.11684715,-0.18665141,0.059535082,-0.1669709,0.089357,-0.24317807,0.12307271,0.26521716,-0.20586027,-0.34142008,-0.020903574,0.21890156,-0.15119931,-0.23931304,0.036736894,-0.17732754,-0.10769506,-0.27557504,-0.06747095,0.1723147,-0.4730515,-0.18983321,0.0036254288,-0.17348172
^h,0.0047162008,-0.03213171,0.06329388,0.44971377,-0.3753892,-0.24070202,-0.10324955,-0.45682952,0.19014522,0.21618989,-0.16361229,-0.4030293,-0.27895525,-0.010721722,0.029543702,-0.037737783,-0.3046686,-0.43636605,-0.38569653,-0.33860883,-0.12498332,-0.10332557,-0.20615725,-0.2563989,-0.10125918,0.45563698,-0.035108685,0.27867475,-0.08520696,-0.39821568,-0.041141547,-0.19553003,-0.36742097,-0.16116089,-0.114352286,-0.10642938,0.23983005,-0.019440686,-0.16695157,0.16611788,-0.44387707,0.15595333
^q,-0.32767054,-0.407847,0.04626328,-0.6513608,0.7492446,-0.34412548,-0.013156654,-0.28467914,-0.22217523,-0.24656387,0.07493296,-0.099717006,-0.039870348,-0.01688458,-0.350787,-0.58600557,-0.106579185,-0.177696,0.03370284,-0.492172,0.07320794,0.1415103,-0.10166549,-0.024762202,-0.6965782,-0.24998537,-0.29038906,-0.3177988,-0.5968265,-0.46423638,-0.03771216,-0.590766,-0.11289909,-0.08428012,0.010101614,-0.2481243,-0.29265776,-0.49166098,-0.64549214,-0.35475686,-0.35719225,-0.032479826
aa,-0.1286186,-0.24159601,0.026965003,-0.15852809,-0.24917085,0.5381825,-0.06009676,0.20689197,-0.13167293,-0.1803397,-0.80118936,0.0962974,-0.345344,-0.05678652,0.09506279,-0.2314307,-0.2847791,0.06570361,0.045351513,-0.24981879,-0.20333634,0.00895066,0.15288594,-0.22798821,-0.3866315,-0.49278018,-0.53506005,-0.47197515,-0.74337554,0.10864508,-0.021187445,-0.14830074,0.029790241,-0.17551409,-0.03995993,-0.19579414,-0.08960745,-0.0628206,0.054739293,0.091321826,0.02636739,-0.12331645
aap_am,0.06360274,0.09272656,0.15481098,0.10066918,-0.284735,0.16244647,0.14999299,-0.34152082,-0.3151725,-0.10008038,-0.23855697,0.1425731,-0.052239917,-0.060191765,-0.049548928,-0.07461703,0.0046342807,-0.25731575,0.19807002,-0.32371205,0.03455815,-0.27873296,0.21627188,-0.1372407,-0.35559484,0.08632852,0.03910563,-0.18534718,-0.14065279,-0.2730699,-0.039309826,0.142846,-0.2906968,-0.19742052,-0.0765349,-0.042389106,-0.4184467,-0.0023594573,-0.046523325,-0.042192604,0.09806542,-0.0028469376
ad,-0.24961266,-0.1486627,-0.2220398,-0.11532945,-0.17776594,0.42093068,-0.10667153,0.22301094,0.14747138,-0.39765686,-0.32352006,0.10276059,-0.13655427,-0.082601845,-0.22902294,0.039312717,-0.46886045,-0.19235466,-0.16352974,-0.06201437,-0.49855864,-0.45979738,-0.28772166,0.0665419,-0.46592388,-0.44554117,-0.2058986,-0.32004452,-0.96039295,-0.024254674,-0.18322845,-0.058990665,-0.51721174,-0.13167048,-0.20065852,0.09982068,-0.24598724,-0.03145776,-0.004616739,-0.20721287,-0.038101643,0.05312643
ar,-0.12931138,0.19783483,0.09046929,0.21630646,-0.46129727,-0.5369421,0.2569814,-0.099618495,0.22240244,-0.3540865,-0.4572475,0.26833463,-0.056915022,-0.015022536,-0.16249692,-0.015750136,-0.1475103,-0.37555292,-0.12405859,-0.004891588,-0.2645869,-0.26281935,0.008671285,0.1578538,-0.14950493,-0.2613366,-0.58890694,-0.017836813,-0.28940225,-0.29498425,-0.046105735,-0.3697623,-0.09205258,-0.22821698,-0.07137087,0.0067765475,-0.17405835,0.01111865,-0.19396943,0.24868344,-0.16497415,-0.07482927
arp_nd,0.03192538,0.07011395,-0.01008704,-0.460088,0.101234116,-0.13675807,-0.10616252,-0.36542585,-0.033325817,0.08233529,-0.11932274,-0.47478932,0.034596995,-0.19659355,-0.3876846,0.21475421,0.13347422,-0.03128702,-0.14231548,0.026418252,-0.13299136,-0.29653415,-0.042570498,0.072999656,-0.13018417,-0.27879962,-0.3092593,-0.27165428,-0.8267065,-0.033895582,-0.046729755,0.004710101,0.20754954,-0.36904734,-0.07402988,-0.24763852,-0.25002056,-0.08255063,0.1088899,-0.004047849,0.17508572,0.07884489
b,-0.004383565,0.032405253,-0.28399622,0.1459442,-0.063959904,-0.4367943,-0.020092387,-0.0123029975,-0.06763618,-0.11399249,0.2818241,-0.07925073,0.36542422,-0.31433946,-0.1284474,0.09172364,-0.5251544,-0.36260933,0.09637713,-0.48558912,-0.050061915,-0.18160982,0.110367425,-0.10049812,-0.08825956,-0.1538245,-0.17981198,-0.22245544,-0.47377133,-0.006192483,0.19270879,0.074922845,-0.07710423,0.20059007,0.014196177,-0.096619904,0.056461968,-0.0032886066,0.07442311,-0.17086835,0.07895389,-0.045372512
b^m,-0.33800942,-0.31820947,-0.11631572,0.19000354,-0.083623625,-0.087428235,-0.14331762,0.059164785,-0.34273884,0.0026375048,-0.09642283,-0.0040456695,-0.14890292,-0.40166548,-0.24663065,-0.041237224,0.06883876,-0.23002955,0.09081031,0.07752979,-0.64721334,0.13672577,0.18360874,-0.0950534,-0.2531119,-0.06502312,0.19971913,0.060415305,-0.09094442,-0.41909444,0.05779988,-0.06927746,0.17318839,0.21963874,-0.2962303,0.07227324,-0.051908705,-0.12949395,-0.08556151,-0.16446483,-0.28648493,-0.1986666
