,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.6715662,0.517668,0.09155768,0.5927519,0.0,0.49409658,0.3626326,0.7384316,0.40816975,0.7833037,0.7733959,0.70169866,0.85799545,0.34244168,0.6377337,0.7305471,0.4498687,0.52070886,0.48252198,0.551852,0.52512306,0.3281356,0.48173314,0.79814106,0.9491325,1.0,0.5533383,0.45842963,0.7034323,0.67903066,0.7740887,0.83589554,0.47715604,0.59989935,0.9202434,0.6192215,0.9272405,0.7089087,0.7717995,0.57276684,0.57076436,0.6928946
^2,0.84242505,0.4929974,0.44920725,0.7047601,0.7096188,0.9172735,0.26589665,0.6919234,0.916381,0.0,0.20363677,0.80035865,0.58543706,0.42073613,0.3777948,0.43413895,0.4208872,0.8278067,1.0,0.47618264,0.48460332,0.2604607,0.37829283,0.3513292,0.037944794,0.6279973,0.6374382,0.7880587,0.15812874,0.2600478,0.1969415,0.77803016,0.37910664,0.09477556,0.54934704,0.7196221,0.71636707,0.22969389,0.27201223,0.79477656,0.6749639,0.28892487
^g,0.30442396,0.8844113,0.6906797,0.7265002,0.45381758,0.0,0.8798549,0.32608876,0.4121305,0.6762833,0.23254302,0.9564726,0.4721266,0.9011791,0.4894229,0.36850995,0.7601114,0.64282125,0.80177915,0.3963082,0.7252108,0.42260116,0.76505256,0.3207892,0.81009644,0.9999999,0.37064537,0.18953887,0.6177456,0.93812275,0.44367185,0.32595283,0.6947527,0.4087648,0.5017931,0.2775072,0.5555321,0.8758832,0.0136806965,0.39205736,0.6505161,0.4139028
^h,0.50582206,0.46543932,0.5700191,0.9935085,0.08925295,0.23686075,0.3874991,0.0,0.7090394,0.73758256,0.32134575,0.05896133,0.19493786,0.4889032,0.5330313,0.45929545,0.16675779,0.022426546,0.077956825,0.12956166,0.36368042,0.3874158,0.27471942,0.21965808,0.38968042,0.99999994,0.46217677,0.8060616,0.40727252,0.0642367,0.45556515,0.2863661,0.097985566,0.3240323,0.37533128,0.38401425,0.76349056,0.4793478,0.31768614,0.6827071,0.014194995,0.67156744
^q,0.25515413,0.1997003,0.51378465,0.031274527,1.0,0.24377313,0.47268695,0.28488904,0.32811975,0.3112514,0.5336139,0.4128177,0.4542105,0.47010854,0.2391657,0.07647732,0.4080715,0.35888368,0.5050972,0.14137709,0.5324208,0.57966197,0.41147003,0.46466002,0.0,0.30888492,0.28093982,0.2619819,0.06899306,0.16069871,0.4557032,0.07318476,0.40370032,0.42349458,0.4887735,0.31017214,0.27937067,0.14173055,0.035333574,0.23641996,0.23473553,0.45932212
aa,0.5021539,0.4178028,0.6183155,0.47982287,0.4121473,1.0,0.55331355,0.7526523,0.49987346,0.46353793,0.0,0.67008036,0.34034264,0.55578506,0.6691586,0.42539245,0.38556153,0.64723843,0.6320432,0.41166356,0.44636822,0.6048657,0.7123304,0.42796266,0.30951664,0.23026407,0.19869712,0.24579749,0.04316491,0.67929935,0.58236396,0.48745883,0.62042487,0.46714082,0.5683481,0.45199937,0.53128034,0.5512799,0.6390523,0.6663655,0.6178693,0.5061126
aap_am,0.75946957,0.8053542,0.9031683,0.8178678,0.21066299,0.915198,0.89557755,0.12119681,0.16270864,0.50158656,0.28341654,0.8838875,0.5769593,0.5644312,0.581199,0.5417041,0.6665647,0.25386202,0.971323,0.14925456,0.7137098,0.22011921,1.0,0.44304046,0.09902316,0.7952741,0.72087437,0.36724862,0.4376647,0.22904137,0.5973307,0.88431746,0.20127013,0.34822705,0.5386825,0.5924793,0.0,0.65554607,0.5859658,0.5927889,0.8137656,0.654778
ad,0.5145647,0.5876467,0.5345259,0.61177814,0.5665777,1.0000001,0.618046,0.8567174,0.80203104,0.40738907,0.46105993,0.769663,0.59641254,0.63547105,0.5294705,0.7237303,0.35584173,0.5560162,0.57688385,0.65037525,0.3343419,0.36240286,0.48697594,0.7434427,0.35796762,0.37272355,0.5462112,0.46357602,0.0,0.6777111,0.5626231,0.6525642,0.32083812,0.59994817,0.5500047,0.7675346,0.51718926,0.6724965,0.69192785,0.5452597,0.6676867,0.7337307
ar,0.53613305,0.91775966,0.79251426,0.93930745,0.14886075,0.06061864,0.986756,0.57077074,0.9464185,0.27392563,0.15358496,0.99999994,0.62058574,0.6694547,0.49742103,0.6686059,0.5149034,0.24888432,0.5422606,0.68127275,0.37832978,0.3803917,0.69709426,0.87112045,0.5125766,0.38212135,0.0,0.6661717,0.34938186,0.3428703,0.6331951,0.25563928,0.57959664,0.42075646,0.6037225,0.694884,0.48393425,0.6999492,0.46070734,0.9770762,0.49453127,0.5996882
arp_nd,0.8244496,0.86111784,0.7841097,0.35202333,0.89099914,0.6624814,0.691859,0.442917,0.76179606,0.8728527,0.6792227,0.33790728,0.82701486,0.60502803,0.42154434,1.0,0.92195576,0.7637537,0.65714526,0.8191617,0.66609824,0.5090661,0.75291944,0.8638887,0.6687937,0.5260946,0.49684754,0.5329555,0.0,0.76124895,0.74892575,0.79831773,0.9930821,0.43943965,0.72271246,0.5560152,0.553728,0.7145309,0.8983501,0.78990847,0.9619107,0.86950123
