,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.024732286,0.021468503,0.014508601,0.02300319,0.013337058,0.021008158,0.018615942,0.026300762,0.019412043,0.027408734,0.027160149,0.025427189,0.029357476,0.018273488,0.023974663,0.026110763,0.02017087,0.021528622,0.020785738,0.022154085,0.021616185,0.018034656,0.020770663,0.027785275,0.031923924,0.033452716,0.022184387,0.020330293,0.025467753,0.02490264,0.027177457,0.028766872,0.020683423,0.02315488,0.031086998,0.023569982,0.03128767,0.025596336,0.027120303,0.022584299,0.022542752,0.025222156
^2,0.029523486,0.023248494,0.022562645,0.026871009,0.026960438,0.031073926,0.019904464,0.02663617,0.031054966,0.016595285,0.019074826,0.028686322,0.024765525,0.022127617,0.021487307,0.022331355,0.022129906,0.029229835,0.032882452,0.022982704,0.023115426,0.019830612,0.021494629,0.021101935,0.01703152,0.02549688,0.025662016,0.028446048,0.01849037,0.019825015,0.018987693,0.028251642,0.021506593,0.017706431,0.024161812,0.027145492,0.027085137,0.019417755,0.019987881,0.028577026,0.026329044,0.020220388
^g,0.019469587,0.030053504,0.025996698,0.026703145,0.021773115,0.015502319,0.02995118,0.019787885,0.021104218,0.025718067,0.018449739,0.03171906,0.02207356,0.030433077,0.022361191,0.020426283,0.027383476,0.02508191,0.028250983,0.02085575,0.026677387,0.021270268,0.027484937,0.019709546,0.02842741,0.0327695,0.020458959,0.017865313,0.024615532,0.03128638,0.021608394,0.019785872,0.026076075,0.021051116,0.0225692,0.019081248,0.02349553,0.029862272,0.015661879,0.0207895,0.025226792,0.021132233
^h,0.02574023,0.02480902,0.027293071,0.040167276,0.017600898,0.020138573,0.023105932,0.01622429,0.030984411,0.031801987,0.021752454,0.017121064,0.019382754,0.025345908,0.026387295,0.024670325,0.01889071,0.016559714,0.017420411,0.018260317,0.022609172,0.023104176,0.02084641,0.019824926,0.023151968,0.040405907,0.024735276,0.033852533,0.023526607,0.017203677,0.024586499,0.021069132,0.0177417,0.021805845,0.022850813,0.023032578,0.03256275,0.025125878,0.021679938,0.030248811,0.016435798,0.029942904
^q,0.020542005,0.018959317,0.02985659,0.01486161,0.060303316,0.020206753,0.028134195,0.021444393,0.02282753,0.022277528,0.030724963,0.025801316,0.02739258,0.028029509,0.020072594,0.015865337,0.025624862,0.023865798,0.029483926,0.017426128,0.030672,0.032840177,0.025751088,0.027809571,0.0142045785,0.022201436,0.021322297,0.020745793,0.015694587,0.017919797,0.02745176,0.015789993,0.02546343,0.026202697,0.028796215,0.022242792,0.021273976,0.01743503,0.014949088,0.019993067,0.019944433,0.027595773
aa,0.023171525,0.020696135,0.027072212,0.022488743,0.020539958,0.045138042,0.024814947,0.03240896,0.023100866,0.022003535,0.011826627,0.029015798,0.01865658,0.024897225,0.028979992,0.020907588,0.019821433,0.028141534,0.027574582,0.020526651,0.021503307,0.026588894,0.030705102,0.020979688,0.017901981,0.01609909,0.015432613,0.016437538,0.012530519,0.02937629,0.025799507,0.022719925,0.027148807,0.022109976,0.025319707,0.0216661,0.02409334,0.024747444,0.027834665,0.028871786,0.027056042,0.023294713
aap_am,0.026817694,0.027610213,0.029378707,0.027830385,0.018929552,0.02960389,0.029237501,0.017884567,0.018362064,0.022768518,0.019824179,0.029021367,0.023884252,0.023695078,0.023948612,0.023355724,0.025282023,0.019455764,0.030677494,0.018205926,0.026049988,0.019043507,0.031240994,0.021937963,0.017634626,0.027434127,0.026168723,0.020907588,0.021863233,0.01915166,0.024195084,0.029029291,0.018817032,0.020656677,0.023310974,0.024120692,0.01656037,0.025105825,0.024021178,0.024125433,0.027758015,0.025093587
ad,0.021436296,0.023713281,0.02203558,0.024517046,0.0230331,0.04191437,0.024730233,0.03438805,0.03188608,0.01848651,0.019909121,0.030491827,0.02400216,0.025332708,0.021882236,0.02861728,0.01721597,0.022699513,0.023363348,0.025859648,0.016712211,0.017372712,0.020634748,0.029407214,0.017266605,0.017622152,0.022394147,0.019978438,0.010530809,0.026854772,0.02290762,0.025937956,0.01640336,0.02411967,0.022511799,0.030402314,0.021514151,0.02666203,0.027387355,0.02236473,0.026485475,0.029015334
ar,0.022922399,0.03179346,0.028556805,0.0323862,0.016446758,0.015248542,0.03373066,0.023613237,0.032584224,0.018308025,0.016513506,0.034115795,0.024643442,0.025697747,0.022174187,0.025679056,0.022509009,0.0179192,0.023043124,0.025959412,0.020022146,0.020057568,0.026313895,0.030547405,0.022464156,0.020087332,0.014476391,0.025625529,0.019531405,0.019422682,0.024911268,0.018023266,0.023792572,0.020763757,0.024289764,0.026264086,0.021919299,0.026378375,0.021487178,0.033451926,0.022119325,0.024205903
arp_nd,0.026813922,0.027857708,0.02571074,0.016393876,0.028738279,0.022651764,0.023355518,0.018021582,0.02512014,0.028200256,0.023050169,0.016154626,0.026885651,0.021336138,0.017624876,0.032193027,0.029679896,0.02517141,0.02252623,0.026666658,0.02273725,0.019306885,0.024888983,0.027938217,0.022801165,0.019652337,0.01906276,0.019793259,0.011362167,0.025105836,0.024785679,0.026094016,0.031961925,0.017956432,0.02411818,0.020274367,0.02022613,0.023913551,0.028959133,0.02586648,0.030940983,0.028101996
