,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.0068849963,-0.01541029,-0.07714103,-0.004532858,-0.090405025,-0.018825088,-0.037870318,0.016571805,-0.031273335,0.023072442,0.021637097,0.011250302,0.033893064,-0.040795386,0.0019836717,0.015429581,-0.025232393,-0.014969754,-0.020501902,-0.010458045,-0.014330269,-0.04286791,-0.020616185,0.025221942,0.047096122,0.05446532,-0.010242718,-0.023992168,0.01150145,0.007966372,0.021737462,0.030691443,-0.021279268,-0.0034974022,0.04291095,-0.00069819717,0.04392462,0.012294814,0.02140583,-0.0074280985,-0.007718199,0.009974849
^2,0.02831786,-0.007843902,-0.012375682,0.014071109,0.014573934,0.036063824,-0.03134623,0.012742661,0.035971455,-0.058863495,-0.03778942,0.023964468,0.0017225415,-0.015322115,-0.019766053,-0.01393508,-0.015306483,0.026805034,0.044625066,-0.0095840385,-0.008712594,-0.031908788,-0.019714512,-0.02250494,-0.05493664,0.0061270376,0.007104064,0.022691563,-0.04249898,-0.03195152,-0.0384823,0.021653723,-0.019630296,-0.049055304,-0.002012359,0.015609155,0.015272301,-0.035092805,-0.03071334,0.023386786,0.010987549,-0.028963074
^g,-0.03573317,0.024999052,0.004712835,0.008463706,-0.020089712,-0.06761032,0.024521943,-0.033464584,-0.024454894,0.0032053434,-0.043260038,0.032544807,-0.018172523,0.02675486,-0.016361374,-0.029022532,0.011983236,-0.00029857084,0.01634639,-0.026111692,0.00832869,-0.023358475,0.012500643,-0.03401952,0.017217318,0.037102684,-0.028798925,-0.04776313,-0.0029243159,0.030623343,-0.021152103,-0.033478815,0.005139326,-0.024807325,-0.015066054,-0.038551707,-0.009438883,0.024106052,-0.06617777,-0.02655681,0.00050718116,-0.02426931
^h,0.00053933496,-0.0036745158,0.0072381576,0.051428337,-0.04292873,-0.027526185,-0.011807404,-0.052242078,0.021744614,0.024723029,-0.018710364,-0.046089597,-0.031900745,-0.0012261139,0.0033785566,-0.0043156147,-0.034841273,-0.049901918,-0.044107456,-0.038722605,-0.014292833,-0.011816098,-0.023575718,-0.029321246,-0.01157979,0.052105702,-0.0040149568,0.031868666,-0.009744092,-0.045539122,-0.0047048624,-0.022360409,-0.0420175,-0.018430026,-0.0130770905,-0.012171044,0.027426468,-0.0022231967,-0.019092236,0.018996896,-0.050760865,0.017834501
^q,-0.028526533,-0.03550658,0.0040276158,-0.05670655,0.06522817,-0.029959077,-0.0011453998,-0.024783764,-0.01934226,-0.0214655,0.006523558,-0.008681222,-0.003471056,-0.0014699476,-0.03053902,-0.051016815,-0.009278633,-0.015469963,0.0029341215,-0.042847797,0.0063733794,0.012319686,-0.008850854,-0.0021557622,-0.060643114,-0.021763373,-0.025280861,-0.027667113,-0.05195887,-0.040415764,-0.0032831673,-0.051431254,-0.009828835,-0.007337308,0.0008794322,-0.021601351,-0.02547837,-0.04280331,-0.05619563,-0.030884631,-0.031096652,-0.0028276478
aa,-0.014983223,-0.028144352,0.003141246,-0.018467482,-0.029026771,0.06269473,-0.0070008785,0.024101557,-0.015339034,-0.021008391,-0.093333304,0.011218015,-0.04023031,-0.006615257,0.011074192,-0.026960159,-0.0331749,0.0076540397,0.0052831536,-0.029102251,-0.023687351,0.0010426932,0.01781021,-0.026559131,-0.045040034,-0.057405658,-0.062330987,-0.05498201,-0.086598374,0.01265644,-0.0024681985,-0.017276064,0.0034703678,-0.02044624,-0.0046550697,-0.022808732,-0.01043868,-0.007318188,0.0063767685,0.010638393,0.003071628,-0.014365558
aap_am,0.010073684,0.014686445,0.024519652,0.015944432,-0.045097593,0.025728995,0.023756556,-0.054091588,-0.04991842,-0.015851175,-0.037783712,0.022581363,-0.008273991,-0.00953344,-0.007847779,-0.011818177,0.00073399796,-0.040754814,0.03137121,-0.051270954,0.0054734736,-0.044146966,0.0342541,-0.021736791,-0.056320693,0.013673095,0.006193724,-0.02935611,-0.022277215,-0.043250024,-0.006226065,0.022624586,-0.046041854,-0.03126834,-0.012121937,-0.006713775,-0.06627545,-0.00037370133,-0.007368571,-0.0066826525,0.015532037,-0.00045091065
ad,-0.026229622,-0.01562167,-0.02333223,-0.012118968,-0.018679876,0.044231944,-0.011209182,0.02343428,0.015496484,-0.0417863,-0.033995908,0.010798216,-0.0143492995,-0.008679909,-0.024066027,0.004131031,-0.049268465,-0.020212878,-0.017183917,-0.0065165507,-0.05238919,-0.048316106,-0.030234165,0.0069923094,-0.048959885,-0.046818044,-0.021636091,-0.03363069,-0.100919336,-0.0025487125,-0.019253884,-0.0061988155,-0.05434928,-0.013836104,-0.021085458,0.010489287,-0.025848659,-0.0033056221,-0.00048513294,-0.021774197,-0.00400377,0.005582594
ar,-0.015825937,0.024212265,0.011072199,0.02647294,-0.05645645,-0.06571434,0.031450994,-0.012191935,0.027219003,-0.043335322,-0.05596081,0.03284047,-0.0069656167,-0.001838552,-0.019887391,-0.0019276004,-0.018053235,-0.04596252,-0.015183067,-0.0005986632,-0.032381803,-0.03216548,0.0010612461,0.019319136,-0.01829735,-0.03198401,-0.07207412,-0.0021829808,-0.03541886,-0.03610202,-0.0056427084,-0.045253824,-0.011265971,-0.027930623,-0.008734814,0.0008293563,-0.02130235,0.0013607701,-0.023739193,0.030435437,-0.02019057,-0.009158075
arp_nd,0.0044319676,0.009733408,-0.0014003102,-0.06387066,0.014053594,-0.018985126,-0.014737768,-0.050729405,-0.0046263803,0.011430008,-0.016564706,-0.06591154,0.004802848,-0.027291648,-0.053819425,0.02981276,0.018529251,-0.0043433486,-0.019756619,0.0036674533,-0.01846222,-0.041165672,-0.0059097516,0.01013401,-0.01807252,-0.038703717,-0.042932212,-0.03771178,-0.11476564,-0.0047054766,-0.006487151,0.00065386895,0.02881259,-0.05123215,-0.010277028,-0.03437785,-0.03470853,-0.011459902,0.015116391,-0.0005619334,0.024305874,0.010945461
b,-0.0006677571,0.004936356,-0.043261707,0.022231966,-0.009743138,-0.06653774,-0.003060713,-0.0018741399,-0.010303153,-0.017364701,0.042930823,-0.012072421,0.05566579,-0.04788395,-0.019566646,0.0139724435,-0.07999781,-0.055236995,0.014681318,-0.07397075,-0.00762603,-0.027664984,0.016812488,-0.015309077,-0.013444753,-0.023432389,-0.027391115,-0.033887077,-0.072170526,-0.0009433132,0.02935571,0.011413145,-0.01174544,0.030556282,0.0021625317,-0.014718301,0.008600963,-0.0005009599,0.0113370195,-0.026028713,0.012027202,-0.0069116843
b^m,-0.047989115,-0.045178004,-0.016514003,0.026975881,-0.011872521,-0.012412683,-0.020347618,0.008399961,-0.04866058,0.00037446155,-0.013689697,-0.0005743867,-0.021140594,-0.05702673,-0.035015553,-0.005854683,0.0097734295,-0.032658603,0.012892855,0.011007344,-0.091888554,0.019411733,0.026067976,-0.01349527,-0.035935733,-0.0092317015,0.02835526,0.008577504,-0.012911895,-0.05950122,0.0082061775,-0.0098357145,0.024588538,0.031183358,-0.042057496,0.010261042,-0.0073697735,-0.018384991,-0.012147653,-0.023350006,-0.040673893,-0.028205825
ba,0.030047966,-0.012877781,-0.005882571,0.024877198,-0.026592083,-0.021578275,-0.077632755,0.004932232,-0.02793753,-0.10831486,0.003061374,-0.060370695,0.019446133,-0.00018348754,-0.01883765,-0.0072365217,-0.0684512,0.023106132,-0.026732141,-0.032401934,-0.0035867323,-0.017822819,0.011983761,0.014366486,-0.03471187,-0.021753184,0.004047598,0.017794186,-0.05959869,-0.0047314,0.024051754,0.0068724966,-0.009011742,0.019604467,0.025035225,-0.008220873,-0.0032519193,0.010021235,-0.018590942,0.002022774,-0.05498283,0.027436577
