,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.040340945,-0.0022674107,-0.08255355,0.052724592,-0.28685653,0.008619984,-0.2561279,0.042407684,0.22423951,-0.03986237,-0.037122875,-0.17328821,-0.07154338,-0.06178505,0.16114396,-0.008116481,-0.23593168,0.2416566,-0.16081181,0.039900657,-0.017697815,-0.18089834,0.20241225,0.11099562,0.22265962,-0.10439205,-0.072396874,-0.03452117,-0.10159307,0.0061426004,-0.049246024,0.11885573,-0.068793215,0.019481923,0.212439,-0.012384466,0.059767865,-0.11142113,0.04601981,0.095975116,0.106127605,0.09704765
^2,-0.046422806,-0.043407395,0.18141448,-0.11320917,0.111834966,0.17024891,-0.17166018,0.114301585,0.046230346,-0.14341094,-0.204936,-0.14024383,-0.23220822,-0.122671925,0.23070845,-0.3199863,-0.25646934,0.16953602,-0.15925606,-0.37488943,-0.21672288,-0.13336273,-0.12935635,0.102937154,-0.06497734,0.001509642,-0.19632329,0.20732169,-0.19485699,0.117390424,-0.23592961,-0.00062385376,0.09340392,0.038672872,-0.12025797,-0.20159635,0.17089249,-0.042456757,-0.14524944,-0.23158619,0.080307215,-0.06528214
^g,0.12426365,-0.2724095,-0.20540752,0.064672664,-0.2087747,-0.0705361,0.19332072,0.08365456,0.10287783,0.24219222,-0.21980478,-0.090189375,0.0062861824,-0.18093891,-0.18125412,-0.06482622,-0.23589718,-0.05230093,-0.16456994,0.12554954,0.09773681,0.21951702,-0.06984208,0.1093191,0.24531527,-0.07555768,-0.003201279,0.0016365193,0.07327255,-0.015610432,-0.15202169,0.055765186,-0.1967865,-0.07878067,-0.12302719,-0.24769863,-0.058853686,-0.029172083,0.08880466,0.025791386,0.10335834,-0.22628689
^h,0.14198653,0.12488936,0.066011764,0.31033087,-0.03433921,-0.04603392,-0.25441208,-0.1918677,0.24547623,0.0700204,-0.22755395,0.061755683,-0.01762707,-0.1218376,0.17812446,-0.20831232,0.11107197,0.09365026,-0.25445235,-0.17204788,-0.011813798,-0.17956138,-0.23768608,-0.2434584,-0.2282743,0.21381402,0.06163422,0.00035799667,0.056570433,0.16544108,0.10508598,0.1295495,-0.05364475,-0.12415639,0.10619423,-0.16316825,-0.12884617,0.0060003363,-0.22066233,0.115928076,-0.12820329,0.16335452
^q,0.07460445,0.0066035585,-0.13260236,-0.0935181,0.40331435,0.044925366,-0.21794014,-0.06405725,-0.14504236,0.13529457,-0.022832371,0.17657667,0.08922822,-0.29238778,0.15021707,0.026810888,0.12253012,-0.2354838,-0.014918553,-0.04667861,0.15088302,-0.13577594,-0.12997691,0.13803689,-0.39671147,-0.14311615,0.08255755,0.09390316,-0.33483842,-0.23842692,-0.21791735,-0.03248502,0.16741934,0.1175497,0.22871408,-0.14150426,-0.28506735,0.010977169,-0.066837855,-0.07575442,0.218738,0.20430696
aa,0.09617956,-0.08030901,-0.2124715,0.19354789,-0.21175608,-0.016905272,-0.008570552,-0.15727095,0.072558135,-0.13912083,-0.41184857,-0.1412084,-0.017226959,-0.26659518,0.20079207,-0.18751678,-0.19709882,-0.16609788,-0.11969205,-0.25658697,-0.09880711,-0.04758658,0.03981159,-0.11386161,-0.056037284,0.09277501,0.007690284,-0.19650656,-0.35999054,0.2601179,-0.10389225,-0.11016163,0.080682345,0.054973982,-0.16929042,0.083972156,-0.26088542,-0.12356488,0.011806715,-0.15209572,0.17777576,-0.23978993
aap_am,-0.03448439,0.14036997,-0.20335008,-0.15005052,-0.03474657,-0.058779858,0.026074467,-0.14641343,-0.1761624,-0.28023505,-0.25238457,-0.098014615,0.11105102,0.18140326,0.047942214,0.009578203,-0.21163835,-0.25285432,-0.2344451,-0.08630131,-0.2436674,-0.091595806,0.058966603,-0.28604844,0.06274497,0.18649714,-0.04828518,-0.1188323,0.09969473,0.10486904,-0.10382623,-0.0756248,-0.16642104,0.10565932,0.19860946,-0.09575665,0.16749004,0.18425024,-0.16219974,-0.20396385,0.17485623,0.20698912
ad,-0.017182946,-0.047899663,-0.2590995,0.027695173,-0.29626584,0.336247,0.052740734,0.25053576,0.09287405,0.010231019,-0.22729239,0.08116615,-0.30375555,-0.15744977,-0.0444564,0.12622097,-0.26169395,0.018479517,-0.028566359,-0.13177875,-0.093482114,-0.23760657,-0.20107107,-0.099054314,-0.41020402,0.117272206,-0.12634201,-0.057820506,-0.48487496,-0.07630606,0.12513183,0.17143999,-0.2060541,0.06746718,-0.19979575,0.15818799,0.10560324,0.13655075,0.14919557,0.11021933,0.0979268,0.03984981
ar,-0.012233898,0.13795547,0.031175107,-0.108126774,-0.014689117,-0.33184302,0.26038134,0.05987665,0.019940408,-0.17775333,-0.07648393,0.013864578,0.050808966,0.12030102,-0.04009902,-0.14512374,-0.2629597,0.14660378,-0.1997736,0.07647403,0.18009412,-0.2786813,-0.06867525,0.23249511,0.0262449,-0.115079656,-0.10905092,0.12915607,0.1599521,-0.29031688,-0.052923396,-0.011616197,0.073066644,-0.18255533,-0.16463687,-0.0067198523,-0.2720692,-0.0336412,-0.0037296058,-0.23709176,0.15077184,0.15761217
arp_nd,0.20395035,-0.17423098,0.09517504,-0.14076988,-0.055704653,-0.3186966,0.081856385,-0.27868918,-0.06550573,-0.0155664375,-0.08442981,0.11203496,-0.22202758,0.105784066,-0.08040136,0.02673709,0.25893277,-0.21050937,-0.1275296,-0.20022579,-0.025959348,0.056868196,0.13602984,-0.047547195,-0.03151156,0.07246604,-0.0858583,-0.12957834,-0.1258065,-0.041152798,-0.12911333,-0.019825099,-0.22515418,0.121673256,0.064463615,-0.12519485,-0.12882055,0.12471456,0.24407925,-0.15931112,0.07198673,-0.22248761
b,0.25714028,-0.097741604,0.01996608,0.15434545,-0.19293337,-0.32669243,0.09833168,0.2129502,-0.06994126,-0.054667193,-0.10598739,-0.15032971,0.29389426,0.04912115,0.0954635,-0.067476705,-0.18879513,0.15069662,-0.0008365029,-0.04388582,0.18477924,-0.012239366,-0.23074327,-0.057563215,-0.19061443,-0.21090457,0.013430605,-0.13083608,0.060940605,-0.1986477,0.21273567,0.17481244,0.038436953,0.08298149,-0.09195506,-0.13748074,0.17478015,-0.024735505,-0.034128994,0.1272952,0.18638748,0.183749
b^m,0.16979752,-0.1479539,-0.021102339,-0.23005772,0.10269278,0.20285305,-0.24924518,0.06439968,0.16597433,-0.25462732,0.24077587,-0.020388765,-0.07494904,-0.25723368,0.11055977,-0.15204947,0.28442192,0.03098162,-0.07609598,-0.16112486,-0.07283302,-0.11325014,0.033340067,0.023059126,0.14045745,-0.20450489,0.24015234,0.16866566,0.119851224,-0.012833238,0.22583263,-0.16464414,-0.08943683,0.1251973,-0.26406714,-0.02144599,-0.0688081,0.20160152,0.16975102,0.105793655,0.006194437,0.012219296
ba,0.24412932,0.049765866,-0.21542253,-0.10026049,0.0072708195,-0.048088364,-0.24343142,0.08461273,0.0064823925,-0.31182003,0.23799187,-0.31051707,0.33271635,0.20664705,-0.037080802,-0.058556326,-0.3425077,-0.1418939,0.24155311,0.09589601,0.19151352,0.020987106,0.18950011,0.023417663,0.12365887,-0.31559947,-0.23138793,0.011084375,-0.10725387,-0.20952575,0.26022533,-0.043451436,0.10891542,0.013982454,0.06502225,0.12474592,0.14925267,0.21858564,-0.085243255,0.20699637,0.119598754,-0.1660547
bd,0.09108888,-0.13541503,-0.007198587,0.033966765,0.13584577,-0.30778822,-0.098744415,-0.19508442,-0.18290865,0.043490715,0.14666392,0.23553929,0.13254495,0.007569773,0.020514952,-0.09615012,0.23131326,-0.1702823,-0.09425727,0.14682986,-0.035502795,0.11019528,-0.14798819,-0.10616121,-0.2913342,-0.09562499,-0.15249571,0.043433223,0.16828941,-0.061928816,0.22861703,-0.2559103,-0.14879486,0.028893827,0.23365511,0.14733301,0.09223785,0.16309868,-0.1422835,0.24414799,0.265445,-0.14097515
bf,-0.051987838,0.06977095,-0.07017845,-0.08454289,0.09481491,0.077207014,0.090442464,-0.3009333,0.07411415,-0.24165703,-0.3721244,0.25041363,0.050934914,-0.012581884,0.28754988,-0.037918694,-0.092546664,0.1441652,-0.17794669,-0.0754512,-0.030227697,0.093561865,-0.17779377,-0.34940276,0.017447088,-0.25819835,-0.26859015,0.0331678,-0.17773752,0.07526306,-0.018832354,0.14821109,-0.1304322,-0.26300466,-0.19678909,-0.18316302,0.09451909,0.12934291,-0.10799268,0.041081212,-0.26361093,0.1395307
bh,0.19960424,0.22536102,0.061560005,-0.05764851,-0.19846062,-0.113685004,-0.2379387,-0.15651968,0.13716482,-0.2023275,0.013630218,-0.3336007,0.18186438,0.07253247,-0.023830926,0.020523405,-0.30214608,-0.053322136,-0.24331938,-0.2040227,-0.057821747,0.020305065,-0.27508685,0.19778036,0.10775457,-0.31486678,-0.080029905,-0.014756226,0.15779822,0.16596188,-0.069560245,-0.17765486,-0.010517953,-0.19344905,0.032132864,-0.25914717,0.10104039,-0.07099451,-0.06607602,0.15118757,0.14164919,-0.12497254
bk,-0.09956847,-0.26954025,-0.2406825,-0.11674065,0.13773616,0.022255985,0.17316812,-0.13310778,-0.0644357,0.17649908,-0.08800327,0.1538145,0.056620773,-0.19833,-0.03080966,0.19607869,0.10338131,-0.13704248,-0.27131587,-0.013913288,0.14440048,-0.14358637,-0.124627896,0.14360595,-0.2917131,0.19328079,-0.074966446,-0.14467336,-0.0027137902,-0.13444246,0.0141310785,0.07653495,0.058547728,-0.21838818,-0.17877965,0.047016144,0.06731137,-0.05605915,-0.15737729,0.14474756,-0.023006944,0.009039764
br,0.046463802,-0.28689122,0.22538,-0.16325763,-0.13223726,0.017216275,-0.2090713,-0.0059898337,0.11823786,0.11739094,0.18029824,0.050068174,0.1255735,-0.16075172,0.21712288,-0.14252143,0.009719742,0.09220457,-0.24610756,0.080230474,0.08166388,-0.077503994,-0.15243068,0.21728572,-0.27742183,0.056600127,-0.07566634,-0.033579517,-0.04573697,0.021161487,-0.27025828,-0.065225475,0.011659338,0.29846022,-0.032102827,0.081017196,0.02375809,-0.13257296,0.0993883,-0.2929859,0.08973929,-0.1254198
fa,0.17406106,-0.23275188,-0.2798212,-0.18848553,-0.08088493,-0.15732692,0.021874005,-0.08821086,-0.15371437,-0.21706946,-0.22620772,0.063095555,0.044284604,0.0939022,0.14838275,-0.20864166,0.21384968,-0.21876074,0.24986355,0.14103633,0.22018287,0.047443323,-0.18285088,-0.28491262,-0.25864333,0.057683412,0.022866156,0.16504726,0.17680618,0.14126979,-0.1349233,0.20717436,-0.2810947,-0.09237854,-0.2486386,0.1787063,0.11636534,-0.19738875,-0.1944797,0.024777774,0.23803829,0.14191057
fc,-0.096522346,-0.27416894,-0.29284605,0.15323071,-0.33161408,-0.36302677,-0.045141596,-0.18586965,-0.042226277,-0.1829163,-0.35734686,-0.1369613,-0.35030118,0.16963136,0.025092078,-0.014497542,-0.02928675,-0.22263819,-0.043866865,0.29416794,0.054782894,-0.34847638,-0.112164296,-0.20134133,0.11582103,-0.22336203,-0.0807458,-0.22915015,-0.43516427,-0.15435296,-0.244695,-0.2935481,0.062292326,0.009916074,-0.040742587,-0.22648169,0.05396033,-0.38760397,0.030760638,0.18988422,-0.0070051914,0.07896856
"fo_o_fw_""_by_bc",-0.11181456,-0.040089425,0.044274706,-0.23712184,-0.33364204,-0.24228524,-0.2804558,-0.117921986,-0.0034436875,-0.203843,-0.15868084,0.061354015,0.13094299,0.08639382,-0.15793106,-0.36086333,-0.09715986,0.08976881,0.24790289,-0.026538488,0.06851015,0.022012861,-0.13899127,-0.00999086,0.14191678,-0.048630018,-0.05438474,-0.28286657,-0.2687533,-0.04309116,-0.011370089,-0.039957304,-0.20633812,-0.11004446,-0.2384756,0.15281118,0.13012962,0.17099926,0.029017828,-0.20861305,0.14008455,0.20000505
fp,0.11471704,0.21387644,0.16713935,-0.10302619,-0.14706804,0.10230907,-0.24289958,-0.17762986,-0.23651366,0.0086197015,-0.089563325,-0.28094915,-0.23169705,0.1109642,-0.29855382,-0.27429935,0.100221455,-0.14781825,-0.048901223,-0.024236538,0.09122487,0.22913161,-0.077317454,-0.04857286,-0.21999593,-0.10486011,0.1201841,-0.1097764,-0.28510478,-0.2953169,-0.17488793,0.12090798,-0.095509104,-0.074978925,-0.010028941,-0.18209621,0.11146862,-0.023394546,0.045598272,-0.24495706,0.16824475,-0.4056777
ft,-0.29488122,-0.21471567,0.18350212,-0.11560862,-0.113544,-0.2842668,0.004639551,-0.047690127,0.08040216,-0.093195185,-0.17496866,0.037675884,-0.27062133,-0.10371949,0.05258218,0.18937732,0.0205188,-0.07224559,-0.008392508,-0.10424414,0.28959584,-0.24486117,0.20977698,-0.14268301,0.22240295,0.08099712,-0.08852434,0.12950563,0.1824022,0.046287637,0.016872857,-0.22492117,-0.08887485,0.19935189,-0.090855606,-0.11300622,0.16802762,-0.22087392,0.110773265,-0.20495564,0.14036882,-0.043894798
h,0.1161331,-0.15269761,0.12261499,-0.09623049,-0.17526785,-0.004932313,0.108049236,-0.16059956,0.16024326,-0.017450493,-0.06889003,-0.28632596,-0.07083572,-0.15074432,0.04462948,0.2121941,-0.045651935,0.2438522,0.18982133,-0.27093467,0.24096587,-0.09428102,-0.031212978,0.2070821,-0.09166389,0.08071179,-0.32500774,0.12244358,0.12809148,-0.19717678,0.19568993,-0.040924534,0.1702782,0.10737768,0.040733032,0.13851862,0.15099418,0.03196619,0.25731757,-0.16705512,-0.1938197,0.2006457
na,-0.03575134,-0.24872929,-0.23132083,0.1684767,-0.15358001,-0.2910589,-0.09207861,-0.02821499,0.10633907,0.055777665,-0.1838901,0.07787468,0.25129938,-0.12263994,-0.011985612,0.17052966,0.17958929,-0.20668852,-0.23532993,0.113939114,0.24661742,-0.15650803,-0.25106928,0.16915187,0.26641318,-0.25104073,0.08596357,-0.34250772,0.033148598,0.1310093,-0.28075,0.13351591,0.1869529,-0.14077978,0.039543714,0.07065915,0.26279244,0.07343738,-0.07626659,-0.06971672,0.20835823,0.14976951
ng,-0.20328523,0.06276399,0.13045724,-0.22996014,-0.041574053,-0.38654318,-0.2660029,-0.19560148,0.19236042,-0.01623569,-0.068068825,0.17747952,0.15983535,-0.06099987,0.03543493,0.075679466,0.296903,-0.12584291,0.029197702,0.19218308,-0.26050025,0.18096364,0.17432714,-0.022700567,-0.1791743,0.020974193,-0.14093599,-0.21701565,-0.2015682,0.18294258,0.20855956,0.20541687,-0.103465855,0.11094793,0.2277665,-0.113739505,-0.2413094,-0.11398823,-0.2725973,-0.27569687,-0.017120045,0.22867586
nn,-0.24664867,0.07168454,0.059470117,-0.16645133,0.046513308,0.010474402,-0.0909942,0.18652907,-0.44887513,-0.13521188,-0.28910372,0.058543764,0.19367982,0.056710877,-0.20634298,0.17447144,0.1030739,-0.32303545,-0.04856072,0.069355235,-0.32338548,-0.02952616,-0.1777015,-0.16829538,-0.3385465,0.26135767,0.017472878,-0.18474874,-0.08049985,0.012684486,0.09040501,0.020838946,-0.26663262,-0.22184657,-0.22586049,-0.24435152,-0.15379654,0.03337835,-0.09304862,0.10088023,-0.11168147,0.06755524
no,-0.13002454,0.004599358,-0.1342196,0.04051021,-0.045968845,0.14326018,0.21985544,0.101686336,0.095648244,0.10833919,0.1251333,0.067623444,0.010398932,-0.06417166,-0.20514761,0.047896627,0.15344068,0.21486774,-0.0127393715,0.07437149,-0.14613251,0.07584031,-0.1422995,0.15706982,-0.14851986,0.12244056,-0.09214442,0.3338848,-0.124697715,0.24197195,0.14458807,-0.12362151,0.20705386,0.21719494,-0.07780829,0.017611755,0.09440468,0.14106372,0.14849852,0.24198341,0.18283428,-0.21859679
ny,0.0022017907,-0.22482277,0.20731762,0.092644386,0.049470447,-0.46350428,-0.21997531,0.038261812,-0.2323236,-0.3018575,0.030517997,0.2107663,0.11232226,0.049545165,0.08877135,-0.07273944,0.1276195,-0.21009706,0.15025298,-0.37945348,-0.14064543,0.09615703,-0.18093294,-0.060108893,-0.09805335,-0.09864,-0.19669676,0.131363,0.042092238,0.1257311,-0.2787884,0.19233267,-0.25327396,-0.02349913,0.15508641,-0.12950763,0.2038008,-0.1100744,-0.013356698,0.16132036,-0.13153581,0.0009755485
oo_co_cc,-0.03128779,-0.20393418,-0.24227883,-0.06358358,0.17405625,0.11034933,-0.16819915,0.17486401,-0.24955401,0.044069152,-0.15841636,-0.18254939,0.093373105,-0.20537391,0.0915764,0.18140216,-0.2774538,-0.11435616,0.07719823,-0.29624152,-0.07951651,0.08825012,-0.16165124,0.06514267,-0.23752724,0.12771823,-0.28474608,0.0011521743,-0.3124911,-0.14152576,-0.19354291,-0.28643355,0.085289925,0.17915323,0.120947115,0.24203594,-0.2350505,-0.035935815,-0.23052733,-0.24311475,-0.025842166,0.12920986
qh,-0.10033788,0.10771476,-0.259448,-0.38363612,-0.14537035,-0.0740446,0.11319966,-0.015836371,0.024692502,-0.21653728,0.22775304,-0.21742025,-0.2102352,0.13315617,-0.094516456,-0.044018228,-0.19712043,0.17249396,0.08647792,0.09568972,0.064887844,-0.111562334,0.16015671,-0.08037984,-0.049933303,-0.07704662,-0.09535639,-0.20006268,0.040274803,0.049092494,0.29059023,-0.19422534,-0.17496036,-0.23756576,-0.11793077,-0.07998652,-0.29857656,0.06817445,0.018279456,0.17075689,-0.07054923,0.26051158
qo,-0.16625193,-0.15454459,0.0019003516,0.038613223,-0.13652338,-0.07239201,0.049321968,0.106723346,-0.2754058,0.011899221,-0.14669023,0.026681334,-0.30067816,-0.018467184,-0.084262885,0.035823908,0.14226452,0.092737526,-0.15764388,0.091779165,-0.0130727,-0.2298036,-0.14049308,-0.13913819,-0.36924854,-0.09533448,-0.15365696,-0.15568012,-0.31213325,0.029730393,0.13990007,0.023284657,-0.09297263,-0.097764485,0.036515042,0.16973194,-0.11159796,0.22493958,0.15864325,-0.0025168022,0.04265715,0.023118248
qrr,-0.10876671,-0.119656205,-0.10919589,-0.2592189,0.06746135,-0.047434825,-0.23344168,0.18741924,-0.107284956,0.17757769,0.21503332,-0.18799232,-0.11932854,-0.028243085,0.16134919,-0.1262199,0.16604672,0.14308167,0.15164638,-0.14213282,-0.04642093,0.22689204,-0.016525507,0.08272721,-0.09666124,0.068766266,0.11251469,-0.16965693,0.18505254,-0.22339745,-0.024814045,-0.21740267,-0.15651019,0.0377586,0.08230307,-0.22949044,-0.021095097,0.1170746,-0.19257796,-0.10270751,0.07437814,0.19587189
qw,-0.19023085,0.08396053,0.14309578,0.08407254,-0.0738028,0.11811035,-0.19761214,-0.024791457,0.08137594,-0.21330866,-0.20867755,0.00079596456,-0.21419756,-0.28993127,-0.1721389,0.089242265,0.1463911,-0.14531448,0.049564987,-0.38058442,0.13384184,-0.20283341,-0.13364068,0.247462,-0.41706467,-0.21062005,-0.34711,-0.010222301,-0.38477188,-0.25414816,-0.11897912,-0.18552032,0.22181486,-0.10305371,0.07036562,0.24459931,-0.08189554,0.28006554,0.13402525,-0.1973409,-0.23642322,-0.24880639
qw^d,-0.22287513,-0.14000146,-0.09080895,0.076803096,-0.13250507,0.059784044,-0.10480191,0.21607591,-0.027013076,0.16446963,0.157789,-0.12035907,-0.23204316,-0.15227987,0.04267357,-0.22582538,0.10809708,-0.0031416314,0.17213808,-0.1742262,0.22548781,0.20480676,-0.022820575,-0.03581777,0.11154767,0.09183465,0.043581016,0.23168467,-0.08513372,-0.26091045,0.16703239,0.22672676,-0.046660926,-0.25609744,0.1258831,0.11501134,0.16457716,-0.14897206,0.14400196,0.008394283,0.117515154,-0.19143046
qy,0.071736686,0.011418898,0.16530468,0.11555239,-0.066210225,-0.2842669,-0.1634309,0.042431735,0.12946482,0.23206331,-0.15793753,-0.3642466,-0.2590686,0.013647515,-0.29233512,-0.22512335,0.059299406,0.2613226,-0.2648284,-0.35265672,0.111982085,-0.3336862,-0.07124902,0.11162473,0.3882769,0.38405502,0.10800072,0.06800234,0.032838043,-0.068491496,-0.15935531,0.08260782,0.17936686,-0.23631023,-0.23721552,0.0033128858,0.095189296,-0.2666344,0.084884234,0.19361159,-0.2645129,-0.079196736
qy^d,-0.23738457,-0.24176638,-0.20918155,-0.0576921,-0.3870669,-0.092254944,0.13518967,-0.11649772,-0.12765421,0.046750724,-0.27830702,0.0035317736,-0.36732122,-0.21265613,-0.095401295,-0.21273498,0.047043383,-0.09437763,-0.14653872,-0.3059788,0.11992717,-0.30117595,-0.14458674,0.1418017,0.22590758,-0.096592255,-0.058315884,-0.15422942,0.39012924,0.23815528,-0.25284034,0.18527187,0.26384196,-0.1313865,0.209387,-0.003540066,0.10046348,-0.10015123,-0.33365923,0.03402374,-0.04200528,0.016548121
sd,-0.11031663,0.10987189,-0.11159164,-0.27686402,-0.21907641,-0.30713072,0.019793859,-0.22308972,0.15794843,-0.43255332,0.15969138,-0.072469056,0.1103622,-0.036487937,0.1836924,-0.04305052,0.1448932,0.06332047,-0.12938088,0.013967862,-0.22191012,-0.22473772,-0.06257581,0.034698278,-0.13465117,-0.4231149,-0.011147186,-0.31021458,-0.059316188,-0.2203929,0.041063987,-0.07064638,-0.38986066,0.20923394,-0.24986176,0.07155333,-0.007835744,0.20301752,-0.024801739,0.0005469103,-0.26675168,0.06706242
sv,-0.13457668,0.049475722,0.053722452,-0.2083739,-0.21960448,-0.06202295,0.07318738,0.043121595,0.024704764,-0.2484045,-0.022059597,-0.0961661,-0.14710909,-0.078575924,-0.022998318,-0.14527236,-0.15579288,-0.008883926,-0.14543483,-0.20655309,0.05564329,-0.10122304,0.14078192,0.044160854,-0.34754112,-0.12515761,-0.4072105,-0.022107307,-0.46486983,-0.015710426,-0.045350593,0.10729232,-0.3012561,-0.20275557,-0.24677716,-0.21790694,-0.32021505,0.026110731,0.037718322,0.1942472,-0.20880434,-0.10416376
t1,0.22071932,-0.10488857,-0.23324838,-0.14851904,-0.26455817,0.011899519,0.032129288,0.21276493,0.18638487,0.1807538,-0.15369833,0.11696283,-0.03882711,-0.02749711,0.16539027,-0.026510356,-0.23867023,-0.21278492,0.14532109,0.18996489,-0.029474825,-0.19061413,0.16841587,0.016708918,0.14694001,-0.08028157,-0.22427672,-0.09143448,0.0072470354,0.028651657,0.15205188,0.2167241,0.15308064,0.1616637,-0.013731019,-0.0008063923,-0.18380193,-0.037328098,-0.070512295,0.15285191,0.0845109,-0.13967939
t3,0.16045026,-0.005694499,0.23640902,0.22946528,0.20888883,-0.029416213,0.03740542,0.1816953,0.22779521,-0.0016454214,-0.221262,0.052099578,-0.16969708,-0.137144,0.14111897,-0.19737352,0.04576851,0.09169494,0.021185216,-0.24606341,-0.28474852,0.19932808,-0.023252074,-0.19699146,-0.21410745,-0.28268307,0.1119115,0.1660369,-0.023526967,0.1107152,-0.19664708,-0.06298594,0.11356946,0.007176427,0.11834651,-0.13867737,-0.0352976,0.10585238,0.13477245,-0.021676775,0.026508933,0.2375135
