,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.6190905,0.5384712,0.38656175,0.6425216,0.0,0.55907124,0.05814165,0.623001,0.96704507,0.4673378,0.4725212,0.21488267,0.4073941,0.42585784,0.847662,0.5274042,0.09635493,1.0,0.23848927,0.61825746,0.5092753,0.20048353,0.9257457,0.75277627,0.9640558,0.34524113,0.4057792,0.47744387,0.35053706,0.5543838,0.44958296,0.7676484,0.41259772,0.57962316,0.94471735,0.5193287,0.6558482,0.3319414,0.6298355,0.72435594,0.7435655,0.7263853
^2,0.5423841,0.54736334,0.9186029,0.43210238,0.803709,0.9001656,0.33558452,0.807782,0.6953786,0.38223138,0.28063747,0.38746113,0.2356039,0.4164769,1.0000001,0.09065938,0.19554248,0.8989885,0.35606697,0.0,0.26117426,0.39882362,0.40543917,0.78901637,0.5117457,0.62153304,0.2948593,0.96138245,0.29728055,0.8128825,0.22945893,0.6180101,0.7732745,0.68289924,0.42046297,0.2861521,0.9012283,0.5489331,0.37919554,0.23663104,0.7516484,0.5112424
^g,0.76618546,0.0,0.12941626,0.65108377,0.12291244,0.3899242,0.8995711,0.68774784,0.72487813,0.99396783,0.10160753,0.35196334,0.5383086,0.17667803,0.1760692,0.400953,0.07052457,0.42514595,0.20829517,0.7686692,0.7149481,0.95017004,0.39126474,0.7373196,1.0,0.38022488,0.5199833,0.5293277,0.6676947,0.49601468,0.23253247,0.6338787,0.14606798,0.3739996,0.2885362,0.04772976,0.41248912,0.46981996,0.6976954,0.57598346,0.72580624,0.08908713
^h,0.70193106,0.671659,0.5674108,1.0,0.3897303,0.36902377,7.1287155e-05,0.1108118,0.885169,0.5745085,0.04762605,0.5598751,0.41932067,0.23480646,0.7659166,0.08169511,0.647194,0.6163473,0.0,0.1459046,0.4296136,0.13260126,0.029686183,0.019465774,0.0463506,0.8291082,0.55966,0.45116487,0.5506941,0.74345946,0.63659525,0.6799102,0.35554808,0.23070082,0.63855755,0.16162679,0.22239715,0.46115515,0.05982831,0.65579224,0.22353543,0.73976505
^q,0.58912593,0.50412756,0.33012575,0.3789795,1.0,0.55202824,0.22345698,0.4158044,0.31457627,0.66498613,0.46733382,0.71658707,0.60740507,0.13040042,0.68363863,0.52938586,0.64903104,0.2015281,0.47722578,0.43752697,0.6844711,0.3261589,0.33340746,0.6684139,0.0,0.31698394,0.599067,0.6132485,0.077338815,0.1978493,0.22348544,0.45526838,0.7051408,0.64280576,0.78175676,0.31899875,0.13955066,0.5095944,0.41232872,0.4011834,0.76928705,0.75124884
aa,0.756032,0.49338707,0.2967069,0.90093255,0.29777154,0.58774257,0.60014606,0.37885463,0.7208793,0.4058651,0.0,0.40275848,0.5872639,0.21616167,0.9117131,0.33384374,0.31958404,0.3657187,0.43477845,0.23105559,0.46585876,0.5420836,0.6721469,0.4434551,0.5295075,0.7509655,0.62434494,0.32046542,0.07717353,1.0,0.4582912,0.44896132,0.7329695,0.6947111,0.36096764,0.7378653,0.22465876,0.429015,0.6304709,0.38655627,0.87746096,0.2560524
aap_am,0.51023304,0.8648802,0.16773236,0.27583683,0.50970125,0.46095592,0.6330611,0.28321373,0.22287557,0.011790931,0.06827849,0.3813783,0.8054142,0.9481057,0.67741424,0.5996027,0.15092176,0.06732577,0.10466412,0.40513572,0.08595905,0.3943972,0.6997744,0.0,0.7074378,0.9584373,0.4822417,0.33915496,0.7823809,0.79287565,0.36959094,0.4267903,0.24263343,0.79447854,0.983004,0.38595802,0.91988623,0.95388,0.25119528,0.16648751,0.93482673,1.0
ad,0.5695768,0.53216857,0.27495968,0.62423146,0.22969684,1.0,0.65473306,0.8956169,0.7036092,0.6029628,0.31369588,0.68935084,0.22057551,0.3987534,0.53636193,0.7442207,0.27180007,0.6130082,0.55571353,0.43001676,0.47665617,0.3011348,0.3456294,0.4698701,0.090937674,0.73332244,0.43663788,0.5200865,0.0,0.49757397,0.7428943,0.7992905,0.33956084,0.6726676,0.34718254,0.78315157,0.71911144,0.7568008,0.77220017,0.7247331,0.70976275,0.6390339
ar,0.5396758,0.7932779,0.612974,0.37775594,0.53553003,0.0,1.0,0.661438,0.5940037,0.26018804,0.43118644,0.58374435,0.64612675,0.76346755,0.49262413,0.31528473,0.11631292,0.807881,0.22300574,0.6894635,0.86443114,0.089766204,0.44437176,0.9529128,0.6046491,0.36601564,0.37619546,0.77841973,0.8304203,0.07011896,0.47096956,0.5407188,0.6837099,0.25207964,0.28233585,0.5489865,0.10093108,0.5035285,0.55403566,0.15999219,0.814919,0.82646924
arp_nd,0.9048137,0.25010088,0.7165004,0.3080292,0.45529532,0.0,0.69344294,0.0692614,0.43832755,0.5247832,0.40556592,0.7456885,0.16735473,0.73486686,0.41254002,0.5980196,1.0,0.18729523,0.33095098,0.2050983,0.5067908,0.650183,0.78722876,0.46941763,0.49717873,0.67718625,0.40309292,0.32740417,0.33393404,0.4804877,0.3282092,0.5174105,0.16194195,0.76237446,0.66333234,0.33499295,0.32871604,0.76763964,0.9742854,0.27593037,0.67635643,0.16655833
