,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.024620416,0.023593416,0.021773236,0.024927203,0.017749874,0.02385169,0.018303774,0.024671355,0.02959113,0.022722889,0.02278522,0.01988463,0.022014286,0.022230163,0.027781744,0.02345582,0.0186772,0.030111032,0.020134266,0.024609575,0.023232155,0.019733874,0.02895223,0.026422888,0.029544413,0.021302896,0.021995509,0.022844583,0.021362606,0.023792673,0.02251066,0.026631396,0.022074914,0.024112178,0.029243993,0.023355924,0.025103394,0.021153683,0.02476063,0.026028972,0.026294574,0.0260569
^2,0.023812309,0.023884218,0.02990542,0.022273911,0.02789536,0.029573372,0.0210093,0.027964253,0.026124032,0.021611258,0.0203217,0.021679813,0.019774972,0.022064136,0.031416517,0.01811317,0.019300984,0.029552298,0.021271527,0.0171455,0.020083576,0.021829506,0.02191714,0.027648253,0.023374554,0.024981488,0.02049748,0.03069031,0.020527562,0.02805076,0.019701516,0.024928244,0.027385924,0.025927346,0.022117458,0.020389684,0.029592408,0.023906933,0.021571565,0.019787276,0.027029602,0.023367431
^g,0.027498275,0.01849407,0.01977566,0.025907494,0.019709185,0.022631062,0.029464327,0.026403965,0.026916444,0.030940061,0.019492988,0.022190629,0.024438156,0.020265512,0.020259127,0.022760652,0.019181807,0.02304753,0.02059997,0.027533656,0.02677842,0.03024638,0.022646774,0.027090382,0.031036839,0.022517703,0.024207398,0.024324792,0.026131252,0.02390886,0.020860093,0.025677746,0.019946888,0.022445247,0.021473775,0.018956767,0.022897,0.023586802,0.026540298,0.024919508,0.026929379,0.01936704
^h,0.027573412,0.02710599,0.025556127,0.03262883,0.023116028,0.022847267,0.018549692,0.019746926,0.030579861,0.02565878,0.019054657,0.02544759,0.023505593,0.021179374,0.028588079,0.019424848,0.026734034,0.026272316,0.018548945,0.020142209,0.023642631,0.019991437,0.018862564,0.018753996,0.019040933,0.029626802,0.025444502,0.023932168,0.025315983,0.028227774,0.026574483,0.027232602,0.02267404,0.021130318,0.026603948,0.02032186,0.021031456,0.024067579,0.019186426,0.026864173,0.021044979,0.028168943
^q,0.02576729,0.024073334,0.020944977,0.021779807,0.035795268,0.025013778,0.019231724,0.022431001,0.020686036,0.027379539,0.023375044,0.028533474,0.02614687,0.017851962,0.02779117,0.024564743,0.027032275,0.018897269,0.023560762,0.022824232,0.027809683,0.020878611,0.02100004,0.027454725,0.016083436,0.02072592,0.025973031,0.02626939,0.017109998,0.018841736,0.01923216,0.023150498,0.028273381,0.026897974,0.030060599,0.020759355,0.017983124,0.024178857,0.02236872,0.022170153,0.029762208,0.029335793
aa,0.027996682,0.023467056,0.020561801,0.030859804,0.020576518,0.025003135,0.025212398,0.021728735,0.027343113,0.022126714,0.016845068,0.02208057,0.024995094,0.019478502,0.031084167,0.021081373,0.020880334,0.02153778,0.022560813,0.019674424,0.02303695,0.024247654,0.026462222,0.022692738,0.024043612,0.027901532,0.025625724,0.020892704,0.017741667,0.032984063,0.022920098,0.022776857,0.027566155,0.026866512,0.021469127,0.027656997,0.019590035,0.022473605,0.025731431,0.021841476,0.030376898,0.020007687
aap_am,0.023702204,0.028231045,0.02001941,0.021115387,0.023695989,0.023133283,0.025181934,0.021192325,0.020571157,0.018537901,0.019061446,0.022243233,0.027415361,0.029413553,0.025738671,0.024769936,0.019854167,0.019052494,0.019406486,0.022505306,0.019228335,0.022386465,0.026023997,0.018430447,0.026122507,0.02956377,0.02337734,0.021784965,0.027105784,0.027246404,0.022114336,0.022746874,0.02077253,0.02726794,0.029924028,0.02229351,0.029007152,0.029497411,0.0208604,0.020007128,0.029221613,0.030175835
ad,0.02398747,0.023261856,0.018833086,0.025088508,0.018145977,0.0341568,0.0257248,0.031351134,0.026778217,0.024654161,0.019441742,0.026466524,0.018010577,0.020848146,0.023342092,0.027686242,0.018784286,0.024858365,0.023715962,0.021390267,0.022225332,0.019242246,0.01995827,0.022101829,0.01619189,0.027439589,0.021506874,0.02303222,0.015026866,0.022610368,0.027656106,0.028966922,0.019859063,0.026106436,0.01998374,0.028585592,0.027121259,0.027973715,0.028329689,0.027246742,0.026913865,0.025395308
ar,0.02391087,0.027785731,0.024971679,0.021724492,0.023852237,0.017369648,0.031404413,0.02569879,0.024692697,0.020263348,0.022422912,0.024543123,0.025466813,0.027299495,0.023253795,0.020935442,0.018608296,0.028027076,0.019822024,0.026128879,0.02898161,0.018318033,0.02259869,0.030540762,0.024848865,0.021573972,0.021704426,0.027542308,0.0284037,0.018106123,0.02295748,0.023925647,0.026040003,0.020166278,0.020530885,0.024043083,0.018439554,0.02340445,0.024115086,0.019095933,0.028144138,0.02833731
arp_nd,0.030097876,0.02062024,0.026995745,0.02132189,0.023215024,0.017846506,0.026638584,0.018574972,0.0229886,0.024165787,0.022557655,0.02745475,0.019657848,0.02728367,0.022648707,0.025210012,0.03179907,0.019885581,0.021606077,0.02009113,0.023915935,0.025981177,0.028121486,0.023405174,0.023783514,0.02638961,0.022525452,0.021561857,0.021643337,0.023555316,0.021571884,0.024063092,0.019596482,0.027720649,0.026179269,0.021656582,0.0215782,0.027805082,0.031330235,0.0209302,0.026376959,0.019648805
