,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,15,20,32,12,41,18,40,14,1,26,25,37,30,28,5,21,39,0,36,16,23,38,4,7,2,34,31,24,33,19,27,6,29,17,3,22,11,35,13,10,8,9
^2,18,17,2,21,8,4,30,7,12,27,34,26,37,23,0,40,39,5,29,41,35,25,24,9,19,14,32,1,31,6,38,15,10,13,22,33,3,16,28,36,11,20
^g,5,41,35,13,36,25,3,11,8,1,37,28,16,32,33,23,39,21,31,4,9,2,24,6,0,26,18,17,12,19,30,14,34,27,29,40,22,20,10,15,7,38
^h,6,8,15,0,23,24,40,33,1,14,36,16,22,26,3,34,10,13,41,31,21,32,38,39,37,2,17,20,18,4,12,7,25,27,11,30,29,19,35,9,28,5
^q,15,19,29,27,0,16,35,24,33,9,21,4,13,39,7,17,10,36,20,23,6,30,28,8,41,32,14,12,40,37,34,22,5,11,1,31,38,18,25,26,2,3
aa,4,18,35,2,34,14,13,28,8,25,41,26,15,39,1,31,33,29,23,37,19,16,10,22,17,5,12,32,40,0,20,21,7,9,30,6,38,24,11,27,3,36
aap_am,17,7,33,29,18,20,15,28,32,40,38,25,8,4,14,16,35,39,36,22,37,23,13,41,12,2,19,27,11,10,26,21,31,9,1,24,6,3,30,34,5,0
ad,20,23,36,17,38,0,15,1,12,19,34,13,39,30,22,6,37,18,21,29,26,35,32,27,40,8,28,24,41,25,7,2,33,14,31,3,10,5,4,9,11,16
ar,21,7,14,28,22,41,0,12,16,33,27,17,13,9,24,31,37,6,35,10,2,39,26,1,15,30,29,8,3,40,25,20,11,34,32,19,38,23,18,36,5,4
arp_nd,2,34,8,32,21,41,9,40,22,15,24,6,37,7,23,14,0,36,28,35,17,13,3,20,18,10,25,31,27,19,30,16,39,5,12,26,29,4,1,33,11,38
