,%,^2,^g,^h,^q,aa,aap_am,ad,ar,arp_nd,b,b^m,ba,bd,bf,bh,bk,br,fa,fc,"fo_o_fw_""_by_bc",fp,ft,h,na,ng,nn,no,ny,oo_co_cc,qh,qo,qrr,qw,qw^d,qy,qy^d,sd,sv,t1,t3,x
%,0.0094286045,-0.0005299459,-0.019294659,0.012322946,-0.06704495,0.002014688,-0.059862964,0.009911649,0.052409917,-0.00931675,-0.008676467,-0.04050143,-0.016721329,-0.014440583,0.03766304,-0.0018970078,-0.055142645,0.05648069,-0.03758541,0.009325699,-0.0041363854,-0.042280093,0.047308385,0.025942223,0.05204066,-0.024398817,-0.01692081,-0.008068389,-0.023744632,0.0014356666,-0.011509925,0.027779311,-0.016078552,0.0045533725,0.04965187,-0.0028945338,0.0139691215,-0.026041673,0.010755885,0.022431586,0.024804456,0.022682263
^2,-0.007555717,-0.007064933,0.029526792,-0.018425781,0.018202117,0.027709497,-0.027939195,0.018603582,0.0075243926,-0.023341382,-0.033355124,-0.022825908,-0.037793916,-0.019965928,0.037549816,-0.052080568,-0.041742627,0.02759347,-0.025920315,-0.06101653,-0.03527354,-0.021705948,-0.021053877,0.016753921,-0.01057563,0.00024570743,-0.03195333,0.033743415,-0.031714678,0.019106317,-0.038399603,-0.00010153765,0.015202304,0.006294348,-0.019573037,-0.032811567,0.027814247,-0.006910208,-0.023640616,-0.037692674,0.013070701,-0.010625239
^g,0.023956368,-0.052516904,-0.039599817,0.012468023,-0.040248968,-0.013598415,0.037269644,0.016127478,0.019833468,0.046691418,-0.04237542,-0.017387304,0.0012118918,-0.0348826,-0.03494337,-0.012497627,-0.04547782,-0.010082919,-0.03172688,0.024204269,0.018842349,0.042319942,-0.013464618,0.021075258,0.0472935,-0.014566509,-0.0006171637,0.000315499,0.0141259665,-0.0030094823,-0.029307745,0.010750781,-0.0379378,-0.015187859,-0.023717994,-0.04775298,-0.011346202,-0.005623987,0.01712035,0.004972234,0.019926105,-0.043625083
^h,0.02458553,0.021625087,0.011430197,0.053735014,-0.0059459694,-0.007970955,-0.04405246,-0.03322265,0.04250518,0.012124309,-0.039401866,0.010693241,-0.0030521967,-0.021096662,0.030842954,-0.0360701,0.01923255,0.016215913,-0.04405943,-0.02979077,-0.0020456058,-0.031091763,-0.041156285,-0.042155784,-0.039526597,0.037022743,0.010672209,6.198854e-05,0.009795394,0.028646776,0.018196052,0.022432009,-0.009288801,-0.02149817,0.018387951,-0.028253227,-0.022310223,0.001038982,-0.03820855,0.020073405,-0.022198906,0.02828548
^q,0.012216091,0.0010812983,-0.021712948,-0.015313103,0.06604063,0.007356295,-0.035686564,-0.010489042,-0.023749933,0.022153782,-0.003738682,0.028913511,0.014610657,-0.04787698,0.024597265,0.0043901433,0.020063668,-0.038559247,-0.0024428354,-0.0076433797,0.02470631,-0.022232603,-0.021283044,0.022602823,-0.06495944,-0.023434525,0.01351837,0.015376154,-0.054828048,-0.03904117,-0.035682835,-0.005319253,0.027414046,0.019248152,0.037450742,-0.023170587,-0.046678297,0.0017974542,-0.010944351,-0.0124043925,0.03581721,0.033454202
aa,0.016042147,-0.013395038,-0.035438914,0.032282572,-0.035319585,-0.0028196932,-0.0014295143,-0.026231807,0.012102242,-0.023204481,-0.06869376,-0.023552673,-0.0028733485,-0.044466402,0.03349086,-0.03127662,-0.032874845,-0.027704084,-0.019963883,-0.042797096,-0.016480405,-0.007937143,0.006640323,-0.018991401,-0.009346667,0.015474289,0.001282691,-0.03277606,-0.060044162,0.04338603,-0.017328575,-0.018374268,0.0134573085,0.009169315,-0.02823658,0.014006028,-0.04351405,-0.020609846,0.001969286,-0.02536861,0.02965188,-0.039995454
aap_am,-0.005861574,0.02385975,-0.034564957,-0.025505228,-0.005906138,-0.009991259,0.004432075,-0.024887003,-0.029943664,-0.04763368,-0.042899724,-0.01666029,0.018876186,0.03083449,0.008149102,0.0016280799,-0.035973776,-0.04297957,-0.039850414,-0.01466929,-0.041417997,-0.015569235,0.010023002,-0.048621826,0.010665239,0.031700335,-0.0082073985,-0.02019883,0.01694587,0.017825387,-0.017648134,-0.012854522,-0.028287848,0.017959718,0.033759158,-0.016276486,0.028469553,0.03131841,-0.027570322,-0.034669284,0.029721642,0.035183515
ad,-0.0027523153,-0.0076724314,-0.04150182,0.004436134,-0.047455017,0.053859085,0.00844786,0.040130105,0.0148763005,0.0016387755,-0.036407046,0.013000962,-0.048654698,-0.025219854,-0.0071208994,0.020217715,-0.04191739,0.0029599962,-0.0045756777,-0.021107944,-0.014973698,-0.03805914,-0.03220699,-0.015866237,-0.065705314,0.018784327,-0.020237103,-0.009261524,-0.07766589,-0.0122224875,0.02004326,0.027460769,-0.03300516,0.010806701,-0.032002714,0.0253381,0.016915226,0.02187231,0.02389772,0.017654618,0.015685637,0.006383029
ar,-0.0023424705,0.026414853,0.005969215,-0.02070344,-0.0028125804,-0.06353923,0.049856193,0.011464807,0.003818065,-0.034035098,-0.014644666,0.0026547029,0.0097285835,0.023034489,-0.0076779104,-0.027787387,-0.05034988,0.028070778,-0.038251404,0.014642771,0.0344833,-0.05336016,-0.013149508,0.044516716,0.0050252094,-0.022034734,-0.02088039,0.024729999,0.03062663,-0.055588067,-0.010133442,-0.002224197,0.013990345,-0.034954555,-0.03152364,-0.0012866755,-0.05209411,-0.0064414074,-0.0007141217,-0.045396853,0.028868852,0.030178595
arp_nd,0.03885983,-0.033197228,0.018134248,-0.026821693,-0.010613727,-0.06072309,0.015596567,-0.053100247,-0.012481182,-0.0029659627,-0.016086895,0.021346664,-0.04230419,0.020155646,-0.0153193325,0.0050943713,0.049335945,-0.04010956,-0.024298947,-0.03815017,-0.0049461834,0.010835424,0.025918545,-0.00905944,-0.0060040783,0.01380737,-0.016359074,-0.024689304,-0.023970634,-0.007841079,-0.024600703,-0.0037773899,-0.042899918,0.023183104,0.012282623,-0.023854094,-0.024544919,0.023762582,0.04650582,-0.03035446,0.013716044,-0.04239184
